source,target,weight
GM Amygdala_centromedial group,GM Amygdala_laterobasal group,0.9321656084183522
GM Amygdala_centromedial group,GM Amygdala_superficial group,0.20334747640619744
GM Amygdala_centromedial group,GM Anterior intra-parietal sulcus hIP1,0.13720267731174074
GM Amygdala_centromedial group,GM Anterior intra-parietal sulcus hIP2,0.8017748379290115
GM Amygdala_centromedial group,GM Anterior intra-parietal sulcus hIP3,0.5217753343853945
GM Amygdala_centromedial group,GM Broca's area BA44,0.5937040584065761
GM Amygdala_centromedial group,GM Broca's area BA45,0.5068361658328367
GM Amygdala_centromedial group,GM Hippocampus cornu ammonis,0.43169718157297865
GM Amygdala_centromedial group,GM Hippocampus dentate gyrus,0.5135412847221823
GM Amygdala_centromedial group,GM Hippocampus entorhinal cortex,0.6834118623693364
GM Amygdala_centromedial group,GM Hippocampus hippocampal-amygdaloid transition area,0.9394891017049402
GM Amygdala_centromedial group,GM Hippocampus subiculum,0.6697780333707812
GM Amygdala_centromedial group,GM Inferior parietal lobule PF,0.4667550820668853
GM Amygdala_centromedial group,GM Inferior parietal lobule PFcm,0.48198121183985776
GM Amygdala_centromedial group,GM Inferior parietal lobule PFm,0.5281888408858307
GM Amygdala_centromedial group,GM Inferior parietal lobule PFop,0.1395512096972782
GM Amygdala_centromedial group,GM Inferior parietal lobule PFt,0.8123706928852202
GM Amygdala_centromedial group,GM Inferior parietal lobule PGp,0.40390081664207345
GM Amygdala_centromedial group,GM Inferior parietal lobule Pga,0.3932538187708934
GM Amygdala_centromedial group,GM Insula Id1,0.24307136444274602
GM Amygdala_centromedial group,GM Insula Ig1,0.16911463738013477
GM Amygdala_centromedial group,GM Insula Ig2,0.9951538774830466
GM Amygdala_centromedial group,GM Lateral geniculate body,0.9835876382140973
GM Amygdala_centromedial group,GM Mamillary body,0.9373252608755305
GM Amygdala_centromedial group,GM Medial geniculate body,0.7227801397043057
GM Amygdala_centromedial group,GM Premotor cortex BA6,0.8236443952701968
GM Amygdala_centromedial group,GM Primary auditory cortex TE1.0,0.45445409544156945
GM Amygdala_centromedial group,GM Primary auditory cortex TE1.1,0.4115527382668883
GM Amygdala_centromedial group,GM Primary auditory cortex TE1.2,0.2782399960897325
GM Amygdala_centromedial group,GM Primary motor cortex BA4a,0.28263440262653894
GM Amygdala_centromedial group,GM Primary motor cortex BA4p,0.20150633584283018
GM Amygdala_centromedial group,GM Primary somatosensory cortex BA1,0.5944267798240818
GM Amygdala_centromedial group,GM Primary somatosensory cortex BA2,0.7868024310831855
GM Amygdala_centromedial group,GM Primary somatosensory cortex BA3a,0.17244121416001923
GM Amygdala_centromedial group,GM Primary somatosensory cortex BA3b,0.5030767124392507
GM Amygdala_centromedial group,GM Secondary somatosensory cortex / Parietal operculum OP1,0.8327856292266231
GM Amygdala_centromedial group,GM Secondary somatosensory cortex / Parietal operculum OP2,0.7240328628110402
GM Amygdala_centromedial group,GM Secondary somatosensory cortex / Parietal operculum OP3,0.9890436442622526
GM Amygdala_centromedial group,GM Secondary somatosensory cortex / Parietal operculum OP4,0.9130794786308128
GM Amygdala_centromedial group,GM Superior parietal lobule 5Ci,0.8586314197334023
GM Amygdala_centromedial group,GM Superior parietal lobule 5L,0.12239218648907857
GM Amygdala_centromedial group,GM Superior parietal lobule 5M,0.7456205826794609
GM Amygdala_centromedial group,GM Superior parietal lobule 7A,0.2928771711898085
GM Amygdala_centromedial group,GM Superior parietal lobule 7M,0.1890223453723836
GM Amygdala_centromedial group,GM Superior parietal lobule 7P,0.04370320720997578
GM Amygdala_centromedial group,GM Superior parietal lobule 7PC,0.561647102669076
GM Amygdala_centromedial group,GM Visual cortex V1 BA17,0.26344233638059866
GM Amygdala_centromedial group,GM Visual cortex V2 BA18,0.8510505466898751
GM Amygdala_centromedial group,GM Visual cortex V3V,0.4967007739954584
GM Amygdala_centromedial group,GM Visual cortex V4,0.041916212857444735
GM Amygdala_centromedial group,GM Visual cortex V5,0.062286298541047946
GM Amygdala_centromedial group,WM Acoustic radiation,0.37022308335766774
GM Amygdala_centromedial group,WM Callosal body,0.9040274151673274
GM Amygdala_centromedial group,WM Cingulum,0.9757262513248391
GM Amygdala_centromedial group,WM Corticospinal tract,0.38756070779478746
GM Amygdala_centromedial group,WM Fornix,0.33450324225064965
GM Amygdala_centromedial group,WM Inferior occipito-frontal fascicle,0.6430422512443439
GM Amygdala_centromedial group,WM Optic radiation,0.16801173093345811
GM Amygdala_centromedial group,WM Superior longitudinal fascicle,0.6877811255060744
GM Amygdala_centromedial group,WM Superior occipito-frontal fascicle,0.3567165735569774
GM Amygdala_centromedial group,WM Uncinate fascicle,0.29903729625544573
GM Amygdala_laterobasal group,GM Amygdala_superficial group,0.5959012841713022
GM Amygdala_laterobasal group,GM Anterior intra-parietal sulcus hIP1,0.27995302978297354
GM Amygdala_laterobasal group,GM Anterior intra-parietal sulcus hIP2,0.3995883953536167
GM Amygdala_laterobasal group,GM Anterior intra-parietal sulcus hIP3,0.6621475032361034
GM Amygdala_laterobasal group,GM Broca's area BA44,0.5576787697489763
GM Amygdala_laterobasal group,GM Broca's area BA45,0.9707138543486223
GM Amygdala_laterobasal group,GM Hippocampus cornu ammonis,0.49624805085216805
GM Amygdala_laterobasal group,GM Hippocampus dentate gyrus,0.6349733200551324
GM Amygdala_laterobasal group,GM Hippocampus entorhinal cortex,0.8914652693746221
GM Amygdala_laterobasal group,GM Hippocampus hippocampal-amygdaloid transition area,0.16338310346216467
GM Amygdala_laterobasal group,GM Hippocampus subiculum,0.9116005475286606
GM Amygdala_laterobasal group,GM Inferior parietal lobule PF,0.929923679061649
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFcm,0.6277029474412574
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFm,0.93292855863326
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFop,0.8174455800128794
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFt,0.2001644995702092
GM Amygdala_laterobasal group,GM Inferior parietal lobule PGp,0.811353333813851
GM Amygdala_laterobasal group,GM Inferior parietal lobule Pga,0.4323965631276935
GM Amygdala_laterobasal group,GM Insula Id1,0.7202747515052349
GM Amygdala_laterobasal group,GM Insula Ig1,0.08591753031077021
GM Amygdala_laterobasal group,GM Insula Ig2,0.42339448542735736
GM Amygdala_laterobasal group,GM Lateral geniculate body,0.5447989589661448
GM Amygdala_laterobasal group,GM Mamillary body,0.2291031506519271
GM Amygdala_laterobasal group,GM Medial geniculate body,0.41281226709145225
GM Amygdala_laterobasal group,GM Premotor cortex BA6,0.43808166545922644
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.0,0.8605805524675094
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.1,0.2162484361948488
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.2,0.6153895669994005
GM Amygdala_laterobasal group,GM Primary motor cortex BA4a,0.6597873363421443
GM Amygdala_laterobasal group,GM Primary motor cortex BA4p,0.7407076293814372
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA1,0.3919050136821388
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA2,0.9243740640010047
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA3a,0.4261411357084972
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA3b,0.3102740308417212
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP1,0.9318979179859499
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP2,0.6745425715685929
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP3,0.5982123680090679
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP4,0.18833149087608891
GM Amygdala_laterobasal group,GM Superior parietal lobule 5Ci,0.696779661169537
GM Amygdala_laterobasal group,GM Superior parietal lobule 5L,0.6706901512751856
GM Amygdala_laterobasal group,GM Superior parietal lobule 5M,0.2632309114955894
GM Amygdala_laterobasal group,GM Superior parietal lobule 7A,0.3589927548054126
