source,target,weight
GM Anterior intra-parietal sulcus hIP1,GM Anterior intra-parietal sulcus hIP2,0.8940455296903079
GM Anterior intra-parietal sulcus hIP1,GM Anterior intra-parietal sulcus hIP3,0.9727218581720766
GM Anterior intra-parietal sulcus hIP1,GM Broca's area BA44,0.8288392373839458
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PF,0.7805018173012256
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFcm,0.7909314914163225
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFm,0.8254682838446131
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFop,0.7060606718182998
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PFt,0.7825340569806819
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule PGp,0.6904271586808778
GM Anterior intra-parietal sulcus hIP1,GM Inferior parietal lobule Pga,0.7906660563843073
GM Anterior intra-parietal sulcus hIP1,GM Premotor cortex BA6,0.688309109369138
GM Anterior intra-parietal sulcus hIP1,GM Primary motor cortex BA4a,0.6966005859723995
GM Anterior intra-parietal sulcus hIP1,GM Primary motor cortex BA4p,0.5462641681321143
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7A,0.7961445549975066
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7M,0.7662077211725666
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7P,0.8549466127243595
GM Anterior intra-parietal sulcus hIP1,GM Superior parietal lobule 7PC,0.8278427369104633
GM Anterior intra-parietal sulcus hIP2,GM Anterior intra-parietal sulcus hIP3,0.9452026943536649
GM Anterior intra-parietal sulcus hIP2,GM Broca's area BA44,0.954676021017673
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PF,0.9107676576041602
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFcm,0.8042698138773181
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFm,0.9021887207928322
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFop,0.7574954936281603
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PFt,0.9314653011623837
GM Anterior intra-parietal sulcus hIP2,GM Inferior parietal lobule PGp,0.6340752259525843
